Date,channel_id,daily_avg,daily_min,daily_max
2020-01-01,125,6.1023464,5.2936745,7.0146317
2020-01-02,125,5.2743926,4.1850777,6.450721
2020-01-03,125,4.9701543,3.9759521,6.0685406
2020-01-04,125,5.171111,4.1674232,6.646159
2020-01-05,125,5.073866,4.162647,6.613041
2020-01-06,125,5.1103597,4.130804,6.7928104
2020-01-07,125,5.294627,4.0668144,7.123974
2020-01-08,125,5.6506214,4.2585487,7.6466346
2020-01-09,125,5.9844265,4.4589686,8.099935
2020-01-10,125,5.85557,4.5275197,7.802845
2020-01-11,125,5.8610997,4.440756,7.840275
2020-01-12,125,5.786585,4.512162,7.6738863
2020-01-13,125,5.69049,4.427468,7.4430428
2020-01-14,125,5.654154,4.44847,7.0655766
2020-01-15,125,5.45804,4.3050885,6.712652
2020-01-16,125,5.6234283,4.2666044,6.8714046
2020-01-17,125,5.5604343,4.49914,6.8985825
2020-01-18,125,5.2026043,4.1445055,6.672003
2020-01-19,125,5.3598413,4.409936,7.030573
2020-01-20,125,5.631297,4.4600353,7.498678
2020-01-21,125,5.8789783,4.574889,7.8551197
2020-01-22,125,5.8932705,4.6917048,7.738145
2020-01-23,125,5.704299,4.52485,7.5105276
2020-01-24,125,5.724051,4.4375753,7.624015
2020-01-25,125,5.828181,4.5575204,7.6467934
2020-01-26,125,5.8128004,4.595153,7.5484195
2020-01-27,125,5.6370316,4.546729,7.0934744
2020-01-28,125,5.405036,4.311371,6.8103065
2020-01-29,125,5.3363814,4.2624025,6.512881
2020-01-30,125,5.17663,4.2103596,6.1376896
2020-01-31,125,5.041947,4.0773125,6.023166
2020-02-01,125,5.1061053,4.1576414,6.593876
2020-02-02,125,5.466462,4.539755,7.219965
2020-02-03,125,5.4992547,4.263756,7.2142944
2020-02-04,125,5.4239407,4.285686,7.189168
2020-02-05,125,5.7344127,4.1977286,7.661889
2020-02-06,125,5.9876485,4.6204453,7.9049134
2020-02-07,125,6.1182437,4.9037576,8.095324
2020-02-08,125,6.153755,4.9647017,8.097987
2020-02-09,125,5.964452,4.9294844,7.6546783
2020-02-10,125,5.689888,4.5093403,7.5131326
2020-02-11,125,5.7581496,4.588826,7.3208904
2020-02-12,125,5.748067,4.6250734,7.069789
2020-02-13,125,5.730318,4.6111,6.802596
2020-02-14,125,5.8427534,4.7871766,7.343133
2020-02-15,125,5.6569333,4.5209746,7.306695
2020-02-16,125,5.6473584,4.417232,7.4137845
2020-02-17,125,5.741789,4.324672,7.4844127
2020-02-18,125,5.8537717,4.348674,7.532941
2020-02-19,125,5.8933883,4.3121357,7.569227
2020-02-20,125,5.909451,4.421549,7.5399027
2020-02-21,125,5.944803,4.4484725,7.6591053
2020-02-22,125,6.140338,4.6161203,7.831135
2020-02-23,125,6.139,4.9027653,7.474971
2020-02-24,125,5.734921,4.724551,6.9286156
2020-02-25,125,5.5713825,4.547474,6.708872
